BANgentrifying_twitter,,,,,,,,,,,,,,,,,,,,,,,,
sfm_id,created_at,created_at_date,twitter_id,screen_name,followers_count,friends_count,retweet_count,hashtags,in_reply_to_screen_name,mentions,twitter_url,is_retweet_strict,is_retweet,action,target,attachments,location,other info,geocoordinates,text,url1,url1_expanded,url2,url2_expanded
422239,2018-03-09T14:24:43Z,03/09/2018,972115973619757056,BANgentrifying,899,236,1,,,,http://twitter.com/BANgentrifying/status/972115973619757056,FALSE,FALSE,l,n,f,"Brooklyn, NY",Equality for Flatbush; https://www.gofundme.com/f/wzr8r-e4f-rapid-response-legal-fund-2018,,A new update has been posted to The E4F Rapid Response Legal Fund: https://t.co/OGTpkGGuNQ,https://t.co/OGTpkGGuNQ,https://www.youcaring.com/equalityforflatbush-763367/update/853820,,
422240,2018-03-09T14:09:45Z,03/09/2018,972112205637472256,BANgentrifying,899,236,2,,,,http://twitter.com/BANgentrifying/status/972112205637472256,FALSE,FALSE,d,Brooklyn Botanical Garden,up,"Brooklyn Botanical Garden, Brooklyn, NY",The Movement to Protect the People; http://www.mtopp.org/,,"This is an important event because BBG has over 18,000 members and we need to reach them and get them involved in t… https://t.co/XShg5QRUt0",https://t.co/XShg5QRUt0,https://twitter.com/i/web/status/972112205637472256,,
422241,2018-03-09T14:09:17Z,03/09/2018,972112089509715968,BANgentrifying,899,236,1,,,,http://twitter.com/BANgentrifying/status/972112089509715968,FALSE,FALSE,d,Brooklyn Botanical Garden,up,"Brooklyn Botanical Garden, Brooklyn, NY",The Movement to Protect the People; http://www.mtopp.org/,,https://t.co/WBdV1MqXin,,,,
422242,2018-03-09T14:07:23Z,03/09/2018,972111611291987968,BANgentrifying,899,236,1,,,,http://twitter.com/BANgentrifying/status/972111611291987968,FALSE,FALSE,d,o: Public,o:invite,"Brooklyn Botanical Garden, Brooklyn, NY",B.A.N.; https://www.facebook.com/events/1930654137244902/,,"Come join the fight against Racism, Gentrification and the Destruction of Public Open Space!  3/10 https://t.co/sTWIa6vUda",https://t.co/sTWIa6vUda,https://www.facebook.com/events/1930654137244902/,,
422243,2018-03-09T14:05:44Z,03/09/2018,972111194596233217,BANgentrifying,899,236,1,,,,http://twitter.com/BANgentrifying/status/972111194596233217,FALSE,FALSE,d,c,p,none,B.A.N.; https://anarchyonairwesu.tumblr.com/post/171355786202/the-2nd-episode-of-season-7-is-co-hosted-by-ocean,,Listen to this episode of WESU Middletown's Anarchy On Air featuring BAN. The segment featuring our members starts… https://t.co/5yc3jJbeMc,https://t.co/5yc3jJbeMc,https://twitter.com/i/web/status/972111194596233217,,
422244,2018-03-09T14:04:53Z,03/09/2018,972110982406434816,BANgentrifying,899,236,1,,,"@CityLimitsNews, @bkcianyc, @CASAbron",http://twitter.com/BANgentrifying/status/972110982406434816,TRUE,TRUE,c,c,p,"Bronx, Jerome Avenue, NY",Banana Kelly: https://citylimits.org/2018/03/06/jerome-avenue-rezoning-approved-by-land-use-committee/?platform=hootsuite,,"RT @CityLimitsNews: On Tuesday, Jerome Avenue's Rezoning Was Approved by The Land Use Committee https://t.co/pQRt65vHBN @bkcianyc @CASAbron…",https://t.co/pQRt65vHBN,http://ow.ly/zQ0p30iPI5G,,
422245,2018-03-09T14:04:35Z,03/09/2018,972110907626094592,BANgentrifying,899,236,1,,,,http://twitter.com/BANgentrifying/status/972110907626094592,FALSE,FALSE,d,o: Public,o:invite,"Brooklyn Botanical Garden, Brooklyn, NY",B.A.N.; https://www.facebook.com/events/1930654137244902/,,3/10 JOIN BAN TO SAVE THE BBG !  WE NEED Volunteers to hand out flyers at three entrances. Please message us or con… https://t.co/YpNmUhppoz,https://t.co/YpNmUhppoz,https://twitter.com/i/web/status/972110907626094592,,
420451,2018-03-07T05:01:53Z,03/07/2018,971249554581532672,BANgentrifying,897,236,6,,,@MiCasaResiste,http://twitter.com/BANgentrifying/status/971249554581532672,TRUE,TRUE,c,g,p,"Brooklyn Bushwick, NY",Village Voice; https://www.villagevoice.com/2018/02/22/city-to-bushwick-displacement-not-our-problem/,,RT @MiCasaResiste: NYC HOUSING OFFICIALS PRIORITIZE PROFIT OVER PEOPLE- City to Bushwick: Displacement Not Our Problem https://t.co/ymOHmoX…,,,,
420452,2018-03-07T05:01:34Z,03/07/2018,971249474352959488,BANgentrifying,897,236,3,,,"@UPROSE, @UPROSE, @IPCC_CH",http://twitter.com/BANgentrifying/status/971249474352959488,TRUE,TRUE,c,c,p,none,intergovernmental panel on climate change; https://www.ipcc.ch/,,"RT @UPROSE: @UPROSE honored &amp; proud our very own Infrastructure Coordinator, Ryan Chavez will be speaking @IPCC_CH The Intergovernmental Pa…",,,,
420453,2018-03-07T05:01:22Z,03/07/2018,971249424348405760,BANgentrifying,897,236,9,"Oscars, PuertoRico, PostMaria",,@RespuestaMedia,http://twitter.com/BANgentrifying/status/971249424348405760,TRUE,TRUE,page doesnt exist,,,,,,RT @RespuestaMedia: #Oscars #PuertoRico #PostMaria https://t.co/kyHb0HN8Di,,,,
420454,2018-03-07T05:01:02Z,03/07/2018,971249341456404480,BANgentrifying,897,236,7,NYCHA,,"@LisaEvers, @NYCHA",http://twitter.com/BANgentrifying/status/971249341456404480,TRUE,TRUE,page doesnt exist,,,,,,RT @LisaEvers: @NYCHA resident leaders gather on City Hall steps to announce they're filing a lawsuit to force #NYCHA to follow the rules #…,,,,
420455,2018-03-07T05:00:45Z,03/07/2018,971249270362959873,BANgentrifying,897,236,22,DACA,,@BAJItweet,http://twitter.com/BANgentrifying/status/971249270362959873,TRUE,TRUE,l,g,p,"Congress, Washington DC",Congress; https://www.congress.gov/,,RT @BAJItweet: Today marks six months since the Trump administration put an end to #DACA. There's no more time to waste. Call your member o…,,,,
420456,2018-03-07T05:00:27Z,03/07/2018,971249192294342658,BANgentrifying,897,236,4,Brooklyn,,@EqualFlatbush,http://twitter.com/BANgentrifying/status/971249192294342658,TRUE,TRUE,c,c,p,"Brooklyn, NY",EqualityforFlatbush; www.equalityforflatbush.org,,RT @EqualFlatbush: #Brooklyn man wins nearly $1M lawsuit after NYPD cop tried to frame him on DWI charge  https://t.co/p9N08VoDVt,https://t.co/p9N08VoDVt,http://www.nydailynews.com/new-york/nyc-crime/nyc-man-wins-1m-lawsuit-nypd-dwi-charge-article-1.3850131,,
420457,2018-03-07T05:00:21Z,03/07/2018,971249169053646850,BANgentrifying,897,236,16,,,"@CLOSErikers, @PiperAnderson1",http://twitter.com/BANgentrifying/status/971249169053646850,TRUE,TRUE,l,g,p,none,#Beyondthebars2018,,"RT @CLOSErikers: ""It is time for this country to reckon with the impact of mass incarceration"" @PiperAnderson1 on reparative justice #Beyon…",,,,
420458,2018-03-07T04:59:51Z,03/07/2018,971249041794306048,BANgentrifying,897,236,3,,,@EqualFlatbush,http://twitter.com/BANgentrifying/status/971249041794306048,TRUE,TRUE,c,n,up,62 Bleeker,Equalityforflatbush; www.equalityforflatbush.org,,"RT @EqualFlatbush: 📷 ¾ ACTION ALERT  -THE HEAT IS OFF AGAIN AT 62 BLEECKER For years, John Heredia has consistently denied... https://t.co/…",,,,
420459,2018-03-07T04:59:44Z,03/07/2018,971249013939998720,BANgentrifying,897,236,5,,,@EqualFlatbush,http://twitter.com/BANgentrifying/status/971249013939998720,TRUE,TRUE,d,g,p,"Brooklyn, NY",,Equalityforflatbush ,"RT @EqualFlatbush: 📷 BREAKING : Grand Putnam Tenants are on RENT STRIKE! ON 3/2/2018 The Grand Putnam Tenants Association,... https://t.co/…",,,,
420460,2018-03-07T04:59:40Z,03/07/2018,971248996420333568,BANgentrifying,897,236,189,,,@nwmalinowski,http://twitter.com/BANgentrifying/status/971248996420333568,TRUE,TRUE,l,g,p,New York City,,NYPD,"RT @nwmalinowski: During his first 6 years with NYPD, officer Raymond Marrero was accused of viciously beating one person, falsely arrestin…",,,,
420461,2018-03-07T04:59:19Z,03/07/2018,971248908025389056,BANgentrifying,897,236,3,,,@EqualFlatbush,http://twitter.com/BANgentrifying/status/971248908025389056,TRUE,TRUE,d,g,p,"Brooklyn, NY",,BAN; ,RT @EqualFlatbush: Pack Brooklyn Housing Court on March 7th to support a 693  Madison Street tenant leader  WHEN: March 7th  2018 WHERE: 14…,,,,
420462,2018-03-07T04:59:16Z,03/07/2018,971248896063221761,BANgentrifying,897,236,1,,,@EqualFlatbush,http://twitter.com/BANgentrifying/status/971248896063221761,TRUE,TRUE,c,c,p,none,,MYNYCLandLord,RT @EqualFlatbush: Please Come &amp; Sign  the petition to demand Isaac Hirsch &amp; JIH Builders Stop the Evictions and Harassment of The Tenants…,,,,
